name,folder,video_seq,traction,x_torse,y_torse,x_barre,y_barre,phase
images (112),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_2389,images1,6,0,0.0,0.0,0.0,0.0,training
im_74,images6,17,1,0.47259403849850706,0.3181112446640473,0.4872104594738006,0.23864148464582488,training
im_1465,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_3059,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_41,images10,23,1,0.0,0.0,0.0,0.0,training
images (83),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_2643,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1075,images1,3,1,0.4079157824670038,0.7047609188724506,0.4232702599487373,0.30394915135598255,training
images (68),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_419,images4,15,1,0.4655961303225264,0.3607010952820704,0.47237126521764417,0.2357672994175875,training
im_2754,images1,6,0,0.0,0.0,0.0,0.0,training
im_75,images9,22,1,0.0,0.0,0.0,0.0,training
im_166,images10,23,1,0.0,0.0,0.0,0.0,training
im_73,images9,22,1,0.0,0.0,0.0,0.0,training
im_31,images13,26,1,0.0,0.0,0.0,0.0,training
im_1270,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_323,images10,23,1,0.0,0.0,0.0,0.0,training
im_176,images10,23,1,0.0,0.0,0.0,0.0,training
im_1479,images1,5,1,0.4971411807280346,0.36669791845885963,0.5034014669630683,0.07451373208210246,training
images (16),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
images (19),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_3306,images1,7,1,0.49245301773412453,0.4312580162794773,0.49967917466405865,0.0717291711116945,training
im_287,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
images (60),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_2703,images1,6,0,0.0,0.0,0.0,0.0,training
im_467,images5,16,1,0.49890830242771994,0.52155485483227,0.4902668317918388,0.24597457042100432,training
im_4046,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_35,images3,14,1,0.4798693082902581,0.3660332455055512,0.4931807710402062,0.24085021480986565,training
im_1542,images1,5,1,0.5058139534883721,0.12403100775193798,0.5038759689922481,0.08139534883720931,training
im_2581,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_335,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_2779,images1,6,0,0.0,0.0,0.0,0.0,training
im_2931,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1098,images1,3,1,0.4209427331069415,0.6747201360691969,0.4266809652869662,0.297666244426987,training
téléchargement,no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
images (63),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_333,images13,26,1,0.0,0.0,0.0,0.0,training
im_2097,images1,6,0,0.0,0.0,0.0,0.0,training
images (72),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_2798,images1,6,0,0.0,0.0,0.0,0.0,training
im_3758,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1255,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_2409,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_27,images10,23,1,0.0,0.0,0.0,0.0,training
images (29),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1561,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_229,images7,18,1,0.45641610556306383,0.28456247405916313,0.46794047039753,0.14800754058050478,training
im_584,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
téléchargement (22),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_1025,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_106,images11,24,1,0.0,0.0,0.0,0.0,training
im_460,images11,24,1,0.0,0.0,0.0,0.0,training
im_3076,images1,7,1,0.49847160517527134,0.3626618232998433,0.5079746623344275,0.07400385407930625,training
images (21),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_83,images9,22,1,0.0,0.0,0.0,0.0,training
im_2639,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_704,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_118,images4,15,1,0.46745539553856164,0.5565021120257347,0.4850504607073112,0.23373930325883452,training
im_345,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (50),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_3195,images1,7,1,0.4964787100219029,0.31841915098703166,0.49580690736699523,0.07935619149850778,training
images (43),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_3895,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1117,images1,3,1,0.3950797589606733,0.6636238710708213,0.4247147552388803,0.3104159329979375,training
téléchargement (5),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
images (8),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
images (4),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
images (91),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_1942,images1,6,0,0.0,0.0,0.0,0.0,training
im_336,images3,14,1,0.47723897036875007,0.36896064175150084,0.4872455632277736,0.23901752798181813,training
images (18),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_383,images10,23,1,0.0,0.0,0.0,0.0,training
im_273,images1,1,1,0.461956570941852,0.5304892927253818,0.4314189972556824,0.3026907953881012,training
images (26),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_372,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_185,images3,14,1,0.4774612158370472,0.5845031730613887,0.4947803709948204,0.24420464499343017,training
im_1170,images1,3,1,0.4189517224715067,0.6288117637666922,0.42845302791240897,0.30094670988927585,training
im_1884,images1,6,0,0.0,0.0,0.0,0.0,training
images (78),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_278,images13,26,1,0.0,0.0,0.0,0.0,training
images (2),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
images (78),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_3543,images1,7,1,0.49415550346621967,0.25059072288813383,0.502129527297282,0.07607624465405143,training
im_1590,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1843,images1,6,0,0.0,0.0,0.0,0.0,training
im_1477,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_72,images9,22,1,0.0,0.0,0.0,0.0,training
im_79,images11,24,1,0.0,0.0,0.0,0.0,training
images (51),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1107,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_2149,images1,6,0,0.0,0.0,0.0,0.0,training
im_70,images8,19,1,0.47135077529105013,0.34712542100779703,0.4734481708854906,0.15715251928790816,training
im_782,images1,2,1,0.3962861703754074,0.6426100182361579,0.4287381634929869,0.30760608144694956,training
im_169,images5,16,1,0.4899755529494554,0.5325127287385513,0.48662867642132374,0.2415964077081101,training
im_41,images13,26,1,0.0,0.0,0.0,0.0,training
im_3970,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_3007,images1,6,0,0.0,0.0,0.0,0.0,training
im_3937,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (26),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_140,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_230,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_743,images1,2,1,0.4230564930807417,0.6672073961866406,0.42674894640694616,0.30431400018262483,training
im_1536,images1,5,1,0.5027828548609778,0.1892094329255011,0.5027369096237155,0.08044533911630379,training
images (20),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_2194,images1,6,0,0.0,0.0,0.0,0.0,training
im_358,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_618,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_692,images1,2,1,0.3907339461688915,0.4595479371250269,0.4274254330052104,0.30367744395966556,training
im_42,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
images (21),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_967,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_155,images5,16,1,0.4863826500417928,0.4881312375861399,0.48330430160093024,0.2420908276580576,training
im_65,images1,1,1,0.4548505864561029,0.30944738030543795,0.43441537448571105,0.30304224100445165,training
images (43),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_2119,images1,6,0,0.0,0.0,0.0,0.0,training
images (31),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_732,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_13,images1,1,1,0.41738252536659076,0.6244559521308137,0.4271461957536888,0.30888726832800195,training
images (97),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
images (75),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_404,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_286,images13,26,1,0.0,0.0,0.0,0.0,training
images (39),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_2389,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_834,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
images (92),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_334,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_2257,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (46),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1218,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_602,images1,2,1,0.3933014942485723,0.6526447757572769,0.4290763902289828,0.313560675863844,training
im_527,images13,26,1,0.0,0.0,0.0,0.0,training
images (78),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_538,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_1461,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_52,images6,17,1,0.47366912549484474,0.2818272525099412,0.4870687071552957,0.2412036282586327,training
im_416,images12,25,1,0.0,0.0,0.0,0.0,training
im_3686,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (48),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_1576,images1,5,1,0.4941030012553247,0.36365136637901196,0.4974486942951864,0.07516621330937671,training
im_3494,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_234,images3,14,1,0.4739980246450151,0.5438687995831432,0.48726140630302583,0.24062572230461682,training
im_258,images1,1,1,0.4642133511875687,0.3677599811344267,0.42572333744385077,0.30523794810650634,training
im_2856,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1902,images1,6,0,0.0,0.0,0.0,0.0,training
im_19,images13,26,1,0.0,0.0,0.0,0.0,training
images (117),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_160,images1,1,1,0.432239682908267,0.6520948514737466,0.42792094567194633,0.30310296928234515,training
images (51),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_904,images1,2,1,0.4043096784866666,0.6824237855791022,0.42076564960949236,0.298606680197685,training
im_1640,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1527,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
images (54),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_143,images4,15,1,0.4689216643688052,0.5847314898910355,0.4812966239063297,0.24256000664945399,training
im_1686,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
images (26),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_207,images6,17,1,0.4661790322067554,0.41452601456054183,0.4774863630243446,0.2417952254691162,training
im_3520,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_110,images9,22,1,0.0,0.0,0.0,0.0,training
im_3095,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_289,images13,26,1,0.0,0.0,0.0,0.0,training
images (102),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_327,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1725,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_3819,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_414,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_251,images12,25,1,0.0,0.0,0.0,0.0,training
im_214,images11,24,1,0.0,0.0,0.0,0.0,training
im_1712,images1,5,1,0.5005586864054503,0.17343552895269873,0.4981930143519346,0.06765819134460872,training
im_295,images1,2,1,0.3976368829932818,0.6117957977363723,0.4258676517365319,0.2963357243794833,training
images (4),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_65,images3,14,1,0.4819774890745267,0.3313175378730561,0.4859119701939011,0.23856904378513688,training
im_2970,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_166,images8,19,1,0.4883720930232558,0.17054263565891473,0.47286821705426363,0.1550387596899225,training
images (27),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
téléchargement (12),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_3693,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_23,images6,17,1,0.46839613332379226,0.3129972046790214,0.4858720120630124,0.23677838098939008,training
im_3700,images1,8,1,0.44216607036374483,0.4367660504869807,0.4468720930232558,0.15459501093222028,training
im_104,images8,19,1,0.4684215571377083,0.4335697783366477,0.47478468472534735,0.1513551294976672,training
im_245,images13,26,1,0.0,0.0,0.0,0.0,training
images (32),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_4100,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
téléchargement (12),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_1961,images1,6,0,0.0,0.0,0.0,0.0,training
im_3687,images1,8,1,0.4486651206961285,0.3164987693583731,0.45472121734137233,0.16201995528955043,training
im_794,images1,2,1,0.37822538018662233,0.6529869907563511,0.43327448908322097,0.3083477403734467,training
im_47,images3,14,1,0.4767034231011216,0.30348622209819515,0.48395508601188175,0.24015934674323666,training
images (83),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_2849,images1,6,0,0.0,0.0,0.0,0.0,training
téléchargement (13),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_431,images11,24,1,0.0,0.0,0.0,0.0,training
im_698,images1,2,1,0.39544535545786935,0.39932999252965945,0.4260055793766848,0.3050521267590751,training
im_3238,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_4147,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_189,images8,19,1,0.4900604628888104,0.23978490141281156,0.47187127682134616,0.1541546231482701,training
im_2,images13,26,1,0.0,0.0,0.0,0.0,training
im_566,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_2846,images1,6,0,0.0,0.0,0.0,0.0,training
im_3346,images1,7,1,0.508158596416506,0.4140540947814711,0.5012939554991266,0.07257117637207973,training
im_390,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (63),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_190,images1,1,1,0.4203440116278333,0.6829287383528003,0.4288712493948482,0.31205519734495335,training
im_558,images1,2,1,0.39574276454089724,0.6362256043821987,0.4309422103095419,0.29797731056762616,training
im_1037,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_3414,images1,7,1,0.4961298607652204,0.31129483912979544,0.4999402960244235,0.07299096786332224,training
im_1841,images1,6,0,0.0,0.0,0.0,0.0,training
im_85,images9,22,1,0.0,0.0,0.0,0.0,training
im_1071,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (64),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_304,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_619,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_345,images12,25,1,0.0,0.0,0.0,0.0,training
images (45),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_1973,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (52),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1234,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_2256,images1,6,0,0.0,0.0,0.0,0.0,training
im_347,images5,16,1,0.49053558397054037,0.35212490153593734,0.4882702694714475,0.24217722300376351,training
im_239,images3,14,1,0.4797009382566735,0.5247752366097442,0.4853674688004379,0.24163384473474217,training
im_248,images12,25,1,0.0,0.0,0.0,0.0,training
im_2248,images1,6,0,0.0,0.0,0.0,0.0,training
im_673,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_196,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_188,images11,24,1,0.0,0.0,0.0,0.0,training
im_680,images1,2,1,0.3895348837209303,0.5600775193798451,0.434108527131783,0.30426356589147285,training
im_3176,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_118,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_496,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_2074,images1,6,0,0.0,0.0,0.0,0.0,training
im_417,images11,24,1,0.0,0.0,0.0,0.0,training
im_129,images5,16,1,0.48360315444014595,0.4674028114124092,0.4871446057378753,0.24571748518144396,training
im_50,images9,22,1,0.0,0.0,0.0,0.0,training
im_1222,images1,3,1,0.3892121372053659,0.6134213836098591,0.4246639593057615,0.3054360797022435,training
im_92,images1,1,1,0.4600135081423142,0.5381455480215126,0.4376266575811981,0.3137597373885636,training
images (65),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_3067,images1,7,1,0.4986755214234451,0.37400898329364823,0.5094605964064653,0.08005547664932212,training
im_18,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_130,images11,24,1,0.0,0.0,0.0,0.0,training
im_530,images11,24,1,0.0,0.0,0.0,0.0,training
im_2850,images1,6,0,0.0,0.0,0.0,0.0,training
im_3119,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1321,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_260,images1,1,1,0.4665186673866203,0.3854518170903908,0.42558399537205555,0.3059762551325247,training
im_3763,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_388,images1,2,1,0.40733290539200684,0.6473399552903619,0.4251843363702767,0.3038715819975741,training
im_187,images4,15,1,0.4728245056407441,0.4023025508934862,0.4809476955691733,0.2359478619930691,training
im_1044,images1,3,1,0.370150088865025,0.6382105365246068,0.4220857966113108,0.3026062650832599,training
im_2572,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_209,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_230,images6,17,1,0.4721988191935682,0.30490811918412425,0.4799070213918825,0.243712076946633,training
im_3135,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_216,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1747,images1,5,1,0.50662232957854,0.2120833776214206,0.5034981116771148,0.07683391689445862,training
im_223,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_211,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
images (20),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
images (47),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_173,images10,23,1,0.0,0.0,0.0,0.0,training
im_395,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_92,images7,18,1,0.4673073814288006,0.4669257331464119,0.47748773178937265,0.14978784196759806,training
im_299,images13,26,1,0.0,0.0,0.0,0.0,training
im_1219,images1,3,1,0.3895282225092809,0.6100943680156825,0.4243011051528257,0.30371868670582125,training
im_3421,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_435,images13,26,1,0.0,0.0,0.0,0.0,training
im_1288,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
